United Kingdom,20332,21008,21788,23192,23088,23816,24908,25428,26052,25896,26312,26884,26936,27404,28028,28600,29536,30420,30472,31772,31720,31306,27765,30053,29709,30415
North East,17836,18252,19188,20436,20384,20852,21944,22828,23452,23348,23660,24544,24804,25272,25584,26208,26572,27612,27300,28444,28444,28027,24857,26905,26597,27229
North West,19240,19916,20540,21944,21840,22568,23452,23920,23920,23868,24544,25116,25220,25584,26156,26780,27560,28912,29016,30056,29900,29615,26266,28430,28104,28772
Yorkshire and The Humber,18720,19552,20384,21580,21476,22152,23088,23556,24232,24024,24180,24908,24908,25012,25896,26104,27040,28132,28080,29588,29484,29154,25857,27987,27666,28324
East Midlands,19240,20072,20384,22100,21996,22360,23400,23920,24544,24336,24804,25116,25168,25532,26104,26884,27560,28496,29276,29796,29744,29359,26039,28184,27861,28523
West Midlands,19032,19708,20436,21840,21632,22412,23400,23764,24492,24180,24388,25116,25012,25584,26416,26884,27872,28652,28704,30264,30108,29820,26448,28627,28299,28971
East,21632,22464,23296,24388,24232,24960,25948,26520,27508,27300,27612,28288,28028,28652,29640,29900,30628,31720,31616,29796,32552,32074,28447,30791,30438,31161
London,24960,25792,26520,28028,27976,28912,30264,31096,31720,31668,31876,31876,32084,32292,32864,34008,34892,36348,37128,37856,38064,37506,33264,36005,35592,36438
South East,22620,23452,24024,25376,25324,26104,27300,27924,28808,28860,28912,29016,29484,29900,30264,30992,31980,33072,32708,34320,34320,33816,29992,32463,32091,32854
South West,19084,19968,20644,21996,21892,22516,23504,23920,24596,24544,24804,25220,25792,25896,26676,27404,27976,29172,29068,30004,29952,29564,26220,28381,28055,28722
Wales,18408,19188,19916,21216,21008,21580,22100,23140,23920,23660,23660,24700,24960,25376,25948,26312,26988,28080,28444,29692,29796,29359,26039,28184,27861,28523
Scotland,19188,19864,20332,22464,22256,22932,24076,24492,25532,25324,25896,26416,26988,27404,27872,28444,29276,30056,30940,32344,32240,31869,28265,30594,30243,30962
Northern Ireland,17784,18304,19396,21060,20956,20852,21736,22724,23452,23140,23816,24128,23920,25168,25688,26000,26936,27820,27508,29900,29848,29461,26130,28282,27958,28623
